ID_Etudiant,Nom,Prenom,Departement,Grade,Annee_etude,Filière,Code_UE,Nom_UE,Code_Matiere,Matiere,Enseignant,Note_Devoir,Note_Examen,Note_Finale,Reussite,Date_Devoir,Date_Examen,Session,Coefficient_Devoir,Coefficient_Examen
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2303,Robotique et Automatisme,2INF2303,Capteurs et actionneurs,Jérôme Simon,6.4,10.6,8.9,False,2025-10-15,2025-12-01,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2303,Robotique et Automatisme,3INF2303,Asservissements,Pierre Pons,11.7,13.2,12.6,True,2025-09-15,2025-11-19,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2302,Systèmes d'Exploitation,1INF2302,Noyau et drivers,Pierre Pons,11.0,14.6,13.2,True,2025-10-09,2025-12-08,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2302,Systèmes d'Exploitation,2INF2302,Ordonnancement,Victor Ollivier,10.6,9.3,9.8,False,2025-10-16,2025-11-14,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2302,Systèmes d'Exploitation,3INF2302,Gestion de la mémoire,Bertrand Boutin du Bouchet,11.3,11.1,11.2,True,2025-10-16,2025-12-03,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2301,Architecture Matérielle,1INF2301,Architecture parallèle,Emmanuel-Grégoire Marion,10.8,8.9,9.7,False,2025-07-29,2025-11-12,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2301,Architecture Matérielle,2INF2301,Systèmes embarqués,Thibaut Bernier,9.5,8.6,9.0,False,2025-07-03,2025-11-24,Principale,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2102,Développement Logiciel,1INF2102,Design Patterns,Louise Gaillard,6.4,7.9,7.3,False,2025-07-14,2025-11-21,Principale,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2102,Développement Logiciel,2INF2102,Tests unitaires et TDD,Margaux Chrétien,11.8,0.6,5.1,False,2025-07-23,2025-12-11,Principale,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2102,Développement Logiciel,3INF2102,Architecture logicielle,Hugues Rousset Le Guillon,5.0,9.4,7.6,False,2025-09-20,2025-11-20,Principale,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2101,Algorithmique Avancée,1INF2101,Structures de données avancées,Véronique Blanchet,9.9,5.6,7.3,False,2025-08-07,2025-12-05,Principale,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2101,Algorithmique Avancée,2INF2101,Graphes et optimisation,Josette Normand,4.4,5.1,4.8,False,2025-10-17,2025-12-06,Rattrapage,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2101,Algorithmique Avancée,3INF2101,Analyse d'algorithmes,Gérard Bigot,4.2,4.7,4.5,False,2025-10-18,2025-12-01,Principale,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2103,Ingénierie des SI,1INF2103,UML et modélisation,Bertrand Boutin du Bouchet,6.5,8.9,7.9,False,2025-06-19,2025-11-19,Rattrapage,0.4,0.6
ETU0004,Ollivier,Roland,Génie Informatique,Licence professionnelle,1,Génie Logiciel,INF2103,Ingénierie des SI,2INF2103,Cycle de vie des projets,Timothée Vincent Le Roy,5.9,4.0,4.8,False,2025-10-27,2025-12-11,Principale,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2402,Traitement des Eaux,1CIV2402,Épuration des eaux usées,Véronique Blanchet,8.1,4.6,6.0,False,2025-07-06,2025-11-15,Principale,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2402,Traitement des Eaux,2CIV2402,Potabilisation,Emmanuel Chrétien,5.3,7.7,6.7,False,2025-09-09,2025-11-12,Principale,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2402,Traitement des Eaux,3CIV2402,Déphosphatation,Henriette Meunier-Henry,11.3,9.4,10.2,True,2025-06-19,2025-11-12,Principale,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,1CIV2403,Gestion des déchets,Véronique Blanchet,10.7,14.7,13.1,True,2025-08-17,2025-12-03,Rattrapage,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,2CIV2403,Études d'impact,Thibaut Bernier,9.8,4.3,6.5,False,2025-08-07,2025-11-12,Principale,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2401,Hydrologie,1CIV2401,Crues décennales,Victor Ollivier,8.6,10.0,9.4,False,2025-08-06,2025-11-21,Principale,0.4,0.6
ETU0005,Blanchard,Maurice,Génie Civil,Master,1,Hydraulique et Environnement,CIV2401,Hydrologie,2CIV2401,Bilans hydriques,Hugues Rousset Le Guillon,3.9,5.7,5.0,False,2025-08-17,2025-11-13,Rattrapage,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,1CIV2403,Études d'impact,Pierre Pons,3.0,7.2,5.5,False,2025-11-02,2025-12-05,Principale,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,2CIV2403,Gestion des déchets,Pierre Pons,7.2,4.5,5.6,False,2025-08-24,2025-11-19,Principale,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2402,Traitement des Eaux,1CIV2402,Épuration des eaux usées,Pierre Pons,11.0,10.7,10.8,True,2025-08-17,2025-11-26,Rattrapage,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2402,Traitement des Eaux,2CIV2402,Déphosphatation,Margaux Chrétien,3.6,0.7,1.9,False,2025-07-16,2025-11-15,Principale,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2402,Traitement des Eaux,3CIV2402,Potabilisation,Luce Pineau,0.0,4.8,2.9,False,2025-09-23,2025-11-14,Rattrapage,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2401,Hydrologie,1CIV2401,Bilans hydriques,Victor Ollivier,2.8,10.2,7.2,False,2025-08-29,2025-12-08,Principale,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2401,Hydrologie,2CIV2401,Crues décennales,Aurélie Boulay,7.9,4.2,5.7,False,2025-08-30,2025-12-05,Principale,0.4,0.6
ETU0006,Mercier,Marc,Génie Civil,Doctorat,3,Hydraulique et Environnement,CIV2401,Hydrologie,3CIV2401,Modélisation pluie-débit,Margaux Chrétien,2.2,2.6,2.4,False,2025-09-21,2025-12-04,Principale,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2302,Systèmes d'Exploitation,1INF2302,Noyau et drivers,Jérôme Simon,16.1,20.0,18.4,True,2025-06-23,2025-11-18,Principale,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2302,Systèmes d'Exploitation,2INF2302,Ordonnancement,Gérard Bigot,12.8,8.7,10.3,True,2025-08-30,2025-11-16,Rattrapage,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2301,Architecture Matérielle,1INF2301,Microprocesseurs,Gilles Garnier,15.4,15.7,15.6,True,2025-08-26,2025-12-04,Principale,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2301,Architecture Matérielle,2INF2301,Architecture parallèle,Gilles Garnier,9.8,12.2,11.2,True,2025-06-19,2025-12-04,Principale,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2303,Robotique et Automatisme,1INF2303,Vision par ordinateur,Margaux Chrétien,16.2,20.0,18.5,True,2025-10-27,2025-12-01,Principale,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2303,Robotique et Automatisme,2INF2303,Asservissements,Gérard Bigot,19.1,10.3,13.8,True,2025-10-11,2025-11-12,Principale,0.4,0.6
ETU0007,Bonneau,Valentine,Génie Informatique,Master Professionnel,1,Système Informatique,INF2303,Robotique et Automatisme,3INF2303,Capteurs et actionneurs,Arthur-Martin Mahe,9.5,16.2,13.5,True,2025-08-27,2025-12-11,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2501,Smart Grids,1ELE2501,Micro-réseaux,Aurélie Blanc,11.1,14.8,13.3,True,2025-08-24,2025-11-12,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2501,Smart Grids,2ELE2501,Gestion de la demande,Gérard Bigot,13.5,20.0,17.4,True,2025-08-31,2025-11-15,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2502,Protection des Réseaux,1ELE2502,Relais numériques,Margaux Chrétien,13.4,10.0,11.4,True,2025-07-18,2025-12-08,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2502,Protection des Réseaux,2ELE2502,Coordination des protections,Thibaut Bernier,14.1,16.5,15.5,True,2025-10-11,2025-11-19,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2503,Qualité de l'Énergie,1ELE2503,Harmoniques,Victor Ollivier,14.3,12.8,13.4,True,2025-10-27,2025-11-19,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2503,Qualité de l'Énergie,2ELE2503,Fluctuations de tension,Emmanuel Chrétien,16.0,20.0,18.4,True,2025-11-10,2025-11-14,Principale,0.4,0.6
ETU0008,Boulay,Capucine,Génie Électrique,Doctorat,1,Réseaux Intelligents,ELE2503,Qualité de l'Énergie,3ELE2503,Correcteurs actifs,Henriette Meunier-Henry,15.8,14.3,14.9,True,2025-07-20,2025-11-29,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2501,Aménagement du Territoire,1CIV2501,Plans locaux d'urbanisme,Gérard Bigot,8.3,7.7,7.9,False,2025-09-03,2025-11-27,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2501,Aménagement du Territoire,2CIV2501,Écoquartiers,Célina-Émilie Le Roux,3.5,10.7,7.8,False,2025-08-21,2025-12-07,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2501,Aménagement du Territoire,3CIV2501,Zones d'aménagement concerté,Gilles Garnier,8.6,8.0,8.2,False,2025-10-25,2025-11-16,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2503,Ouvrages d'Art,1CIV2503,Ponts à haubans,Renée Legrand,9.1,5.8,7.1,False,2025-07-13,2025-11-21,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2503,Ouvrages d'Art,2CIV2503,Ponts en arc,Gilles Garnier,8.8,9.6,9.3,False,2025-08-26,2025-11-21,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2503,Ouvrages d'Art,3CIV2503,Viaducs,Henriette Meunier-Henry,7.3,11.5,9.8,False,2025-06-28,2025-11-27,Principale,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2502,Infrastructures Routières,1CIV2502,Signalisation,Benjamin Valette Le Renaud,10.0,0.0,4.0,False,2025-09-03,2025-12-05,Rattrapage,0.4,0.6
ETU0009,Masson,Gérard,Génie Civil,Doctorat,1,Urbanisme et Transport,CIV2502,Infrastructures Routières,2CIV2502,Couches de chaussée,Charlotte-Michelle Dufour,7.6,8.9,8.4,False,2025-08-20,2025-11-22,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2102,Matériaux de Construction,1CIV2102,Béton haute performance,Gilles Garnier,9.8,7.4,8.4,False,2025-08-14,2025-11-11,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2102,Matériaux de Construction,2CIV2102,Matériaux composites,Corinne Simon,14.1,10.9,12.2,True,2025-09-21,2025-12-06,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2101,Technologie du Bâtiment,1CIV2101,Gros œuvre,Emmanuel Launay,9.7,9.8,9.8,False,2025-06-23,2025-11-21,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2101,Technologie du Bâtiment,2CIV2101,Étanchéité toiture,Gilles Garnier,8.4,10.4,9.6,False,2025-10-24,2025-12-08,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2101,Technologie du Bâtiment,3CIV2101,Second œuvre,Aurélie Blanc,12.3,10.4,11.2,True,2025-09-21,2025-12-04,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2103,Sécurité Chantier,1CIV2103,Plans de prévention,Pierre Pons,5.2,13.1,9.9,False,2025-06-26,2025-12-04,Principale,0.4,0.6
ETU0010,Collet,Philippine,Génie Civil,Licence Fondamentale,1,Bâtiment et Travaux Publics,CIV2103,Sécurité Chantier,2CIV2103,Étude de sécurité,Victor Ollivier,10.4,14.4,12.8,True,2025-09-05,2025-12-10,Principale,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2102,Développement Logiciel,1INF2102,Tests unitaires et TDD,Thibaut Bernier,9.3,6.7,7.7,False,2025-07-08,2025-12-01,Principale,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2102,Développement Logiciel,2INF2102,Design Patterns,Benjamin Valette Le Renaud,9.3,15.8,13.2,True,2025-07-12,2025-11-25,Rattrapage,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2102,Développement Logiciel,3INF2102,Architecture logicielle,Gilles Garnier,10.6,12.1,11.5,True,2025-07-05,2025-11-28,Principale,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2101,Algorithmique Avancée,1INF2101,Graphes et optimisation,Corinne Simon,11.4,9.8,10.4,True,2025-08-29,2025-12-03,Principale,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2101,Algorithmique Avancée,2INF2101,Analyse d'algorithmes,Véronique Blanchet,10.0,15.3,13.2,True,2025-06-19,2025-11-17,Principale,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2103,Ingénierie des SI,1INF2103,UML et modélisation,Thibaut Bernier,15.9,10.9,12.9,True,2025-08-01,2025-11-12,Principale,0.4,0.6
ETU0011,Thibault,Thibault,Génie Informatique,Master Professionnel,1,Génie Logiciel,INF2103,Ingénierie des SI,2INF2103,Gestion des exigences,Gérard Bigot,9.9,8.6,9.1,False,2025-10-06,2025-11-30,Principale,0.4,0.6
ETU0012,Le Roux,Christelle,Génie Informatique,Master Professionnel,2,Génie Logiciel,INF2103,Ingénierie des SI,1INF2103,Cycle de vie des projets,Thibaut Bernier,3.2,12.5,8.8,False,2025-09-03,2025-11-18,Rattrapage,0.4,0.6
ETU0012,Le Roux,Christelle,Génie Informatique,Master Professionnel,2,Génie Logiciel,INF2103,Ingénierie des SI,2INF2103,Gestion des exigences,Thibaut Bernier,3.4,7.1,5.6,False,2025-10-27,2025-12-11,Principale,0.4,0.6
ETU0012,Le Roux,Christelle,Génie Informatique,Master Professionnel,2,Génie Logiciel,INF2102,Développement Logiciel,1INF2102,Design Patterns,Victor Ollivier,5.0,11.2,8.7,False,2025-07-20,2025-11-29,Principale,0.4,0.6
ETU0012,Le Roux,Christelle,Génie Informatique,Master Professionnel,2,Génie Logiciel,INF2102,Développement Logiciel,2INF2102,Tests unitaires et TDD,Henriette Meunier-Henry,6.2,10.5,8.8,False,2025-09-19,2025-11-13,Principale,0.4,0.6
ETU0012,Le Roux,Christelle,Génie Informatique,Master Professionnel,2,Génie Logiciel,INF2101,Algorithmique Avancée,1INF2101,Structures de données avancées,Gilles Garnier,7.4,12.7,10.6,True,2025-09-25,2025-12-09,Rattrapage,0.4,0.6
ETU0012,Le Roux,Christelle,Génie Informatique,Master Professionnel,2,Génie Logiciel,INF2101,Algorithmique Avancée,2INF2101,Analyse d'algorithmes,Gilles Garnier,10.3,7.5,8.6,False,2025-08-27,2025-11-14,Principale,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2301,Architecture Matérielle,1INF2301,Microprocesseurs,Victor Ollivier,18.9,20.0,19.6,True,2025-07-12,2025-12-02,Principale,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2301,Architecture Matérielle,2INF2301,Architecture parallèle,Margaux Chrétien,15.3,13.2,14.0,True,2025-09-26,2025-12-04,Principale,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2302,Systèmes d'Exploitation,1INF2302,Noyau et drivers,Agathe Perrot,20.0,15.7,17.4,True,2025-09-05,2025-12-08,Principale,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2302,Systèmes d'Exploitation,2INF2302,Ordonnancement,Louise Gaillard,15.2,11.2,12.8,True,2025-06-24,2025-11-25,Principale,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2303,Robotique et Automatisme,1INF2303,Vision par ordinateur,Luce Pineau,10.0,14.2,12.5,True,2025-10-29,2025-11-14,Rattrapage,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2303,Robotique et Automatisme,2INF2303,Asservissements,Pierre Pons,16.4,15.0,15.6,True,2025-06-27,2025-11-16,Principale,0.4,0.6
ETU0013,Duhamel,David,Génie Informatique,Licence professionnelle,1,Système Informatique,INF2303,Robotique et Automatisme,3INF2303,Capteurs et actionneurs,Louise Gaillard,17.0,15.5,16.1,True,2025-07-24,2025-11-24,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2402,Traitement des Eaux,1CIV2402,Épuration des eaux usées,Gérard Bigot,5.4,9.5,7.9,False,2025-07-08,2025-11-19,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2402,Traitement des Eaux,2CIV2402,Potabilisation,Luce Pineau,6.6,11.2,9.4,False,2025-07-10,2025-12-08,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2402,Traitement des Eaux,3CIV2402,Déphosphatation,Louise Gaillard,4.3,7.2,6.0,False,2025-07-21,2025-11-30,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,1CIV2403,Gestion des déchets,Denis Garcia-Philippe,6.1,8.5,7.5,False,2025-08-16,2025-11-24,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,2CIV2403,Dépollution des sols,Corinne Simon,8.3,8.0,8.1,False,2025-08-03,2025-11-26,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2403,Génie de l'Environnement,3CIV2403,Études d'impact,Margaux Chrétien,13.8,6.8,9.6,False,2025-07-15,2025-11-11,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2401,Hydrologie,1CIV2401,Modélisation pluie-débit,Emmanuel Launay,9.3,8.9,9.1,False,2025-06-22,2025-11-21,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2401,Hydrologie,2CIV2401,Crues décennales,Timothée Vincent Le Roy,4.9,2.5,3.5,False,2025-06-27,2025-11-21,Principale,0.4,0.6
ETU0014,Philippe,Renée,Génie Civil,Doctorat,1,Hydraulique et Environnement,CIV2401,Hydrologie,3CIV2401,Bilans hydriques,Renée Legrand,8.5,3.6,5.6,False,2025-09-02,2025-12-03,Principale,0.4,0.6
ETU0015,Antoine,Hélène,Génie Informatique,Master Professionnel,1,Système et réseaux,INF2201,Réseaux et Communications,1INF2201,Réseaux sans fil,Hugues Rousset Le Guillon,20.0,20.0,20.0,True,2025-07-21,2025-12-04,Rattrapage,0.4,0.6
ETU0015,Antoine,Hélène,Génie Informatique,Master Professionnel,1,Système et réseaux,INF2201,Réseaux et Communications,2INF2201,Routage et commutation,Victor Ollivier,20.0,18.0,18.8,True,2025-07-17,2025-11-27,Rattrapage,0.4,0.6
ETU0015,Antoine,Hélène,Génie Informatique,Master Professionnel,1,Système et réseaux,INF2201,Réseaux et Communications,3INF2201,TCP/IP avancé,Aurélie Blanc,20.0,18.1,18.9,True,2025-10-02,2025-12-09,Principale,0.4,0.6
ETU0015,Antoine,Hélène,Génie Informatique,Master Professionnel,1,Système et réseaux,INF2202,Sécurité Informatique,1INF2202,Cryptographie appliquée,Denis Garcia-Philippe,20.0,20.0,20.0,True,2025-11-03,2025-12-02,Principale,0.4,0.6
ETU0015,Antoine,Hélène,Génie Informatique,Master Professionnel,1,Système et réseaux,INF2202,Sécurité Informatique,2INF2202,Pare-feu et IDS/IPS,Antoinette Georges,20.0,20.0,20.0,True,2025-09-17,2025-11-16,Rattrapage,0.4,0.6
